"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
71421,NA,NA,"Haemophilus influenzae Rd KW20 (serotype d)","genome size",1830138,"Kegg","igc","usually",NA,"strain","Haemophilus influenzae",727,"species","High"
243273,NA,NA,"Mycoplasma genitalium G37","genome size",580076,"Kegg","igc","usually",NA,"strain","Mycoplasma genitalium",2097,"species","High"
243232,NA,NA,"Methanocaldococcus jannaschii","genome size",1739927,"Kegg","igc","usually",NA,"strain","Methanocaldococcus jannaschii",2190,"species","High"
1148,NA,NA,"Synechocystis sp. PCC 6803","genome size",3947019,"Kegg","igc","usually",NA,"species","Synechocystis",1142,"genus","High"
272634,NA,NA,"Mycoplasma pneumoniae M129","genome size",816394,"Kegg","igc","usually",NA,"strain","Mycoplasma pneumoniae",2104,"species","High"
511145,NA,NA,"Escherichia coli K-12 MG1655","genome size",4641652,"Kegg","igc","usually",NA,"no rank","Escherichia coli K-12",83333,"strain","High"
85962,NA,NA,"Helicobacter pylori 26695","genome size",1667867,"Kegg","igc","usually",NA,"strain","Helicobacter pylori",210,"species","High"
187420,NA,NA,"Methanothermobacter thermautotrophicus","genome size",1751377,"Kegg","igc","usually",NA,"strain","Methanothermobacter thermautotrophicus",145262,"species","High"
224308,NA,NA,"Bacillus subtilis subsp. subtilis 168","genome size",4215606,"Kegg","igc","usually",NA,"strain","Bacillus subtilis",1423,"species","High"
224325,NA,NA,"Archaeoglobus fulgidus DSM 4304","genome size",2178400,"Kegg","igc","usually",NA,"strain","Archaeoglobus fulgidus",2234,"species","High"
224326,NA,NA,"Borrelia burgdorferi B31","genome size",1521208,"Kegg","igc","usually",NA,"strain","Borreliella burgdorferi",139,"species","High"
224324,NA,NA,"Aquifex aeolicus","genome size",1590791,"Kegg","igc","usually",NA,"strain","Aquifex aeolicus",63363,"species","High"
70601,NA,NA,"Pyrococcus horikoshii","genome size",1738505,"Kegg","igc","usually",NA,"strain","Pyrococcus horikoshii",53953,"species","High"
83332,NA,NA,"Mycobacterium tuberculosis H37Rv","genome size",4411532,"Kegg","igc","usually",NA,"strain","Mycobacterium tuberculosis",1773,"species","High"
243276,NA,NA,"Treponema pallidum subsp. pallidum Nichols","genome size",1138011,"Kegg","igc","usually",NA,"strain","Treponema pallidum",160,"species","High"
272561,NA,NA,"Chlamydia trachomatis D/UW-3/CX","genome size",1042519,"Kegg","igc","usually",NA,"strain","Chlamydia trachomatis",813,"species","High"
272947,NA,NA,"Rickettsia prowazekii Madrid E","genome size",1111523,"Kegg","igc","usually",NA,"strain","Rickettsia prowazekii",782,"species","High"
85963,NA,NA,"Helicobacter pylori J99","genome size",1643831,"Kegg","igc","usually",NA,"strain","Helicobacter pylori",210,"species","High"
115713,NA,NA,"Chlamydia pneumoniae CWL029","genome size",1230230,"Kegg","igc","usually",NA,"strain","Chlamydia pneumoniae",83558,"species","High"
243274,NA,NA,"Thermotoga maritima MSB8","genome size",1860725,"Kegg","igc","usually",NA,"strain","Thermotoga maritima",2336,"species","High"
272557,NA,NA,"Aeropyrum pernix","genome size",1669696,"Kegg","igc","usually",NA,"strain","Aeropyrum pernix",56636,"species","High"
272844,NA,NA,"Pyrococcus abyssi","genome size",1768562,"Kegg","igc","usually",NA,"strain","Pyrococcus abyssi",29292,"species","High"
243230,NA,NA,"Deinococcus radiodurans","genome size",3284156,"Kegg","igc","usually",NA,"strain","Deinococcus radiodurans",1299,"species","High"
192222,NA,NA,"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","genome size",1641481,"Kegg","igc","usually",NA,"strain","Campylobacter jejuni",197,"species","High"
122586,NA,NA,"Neisseria meningitidis MC58 (serogroup B)","genome size",2272360,"Kegg","igc","usually",NA,"strain","Neisseria meningitidis",487,"species","High"
243161,NA,NA,"Chlamydia muridarum Nigg","genome size",1080451,"Kegg","igc","usually",NA,"strain","Chlamydia muridarum",83560,"species","High"
115711,NA,NA,"Chlamydia pneumoniae AR39","genome size",1229853,"Kegg","igc","usually",NA,"strain","Chlamydia pneumoniae",83558,"species","High"
